station_id,city,region,countryCode,lat,lon,aqi,no2,o3,pm25
363,,Albi Sq. Delmas,FR,43.92781137,2.145879865,40.0,2.3,39.8,32.0
364,Olivais,Lisboa,PT,38.768888888889,-9.1080555555556,15.0,17.0,14.7,20.0
365,,Varna - SOU Angel Kanchev,BG,43.224389,27.915733,34.0,11.1,32.3,34.0
366,Str. Vasile Alecsandri,Târgu Jiu,RO,45.0470586,23.2732453,26.0,12.0,25.6,46.0
367,,Castres,FR,43.61043594,2.230208516,40.0,0.7,39.8,32.0
368,Kankaan Koulu,Kouvola,FI,60.87045,26.7011,27.0,6.4,47.7,27.0
369,,Longford,IE,53.725556,-7.791389,55.0,2.5,36.0,55.0
370,DC-86,Năvodari,RO,44.321111,28.613333,16.0,15.7,16.2,34.0
371,,Krosno-Kletówki-WIOS,PL,49.690169,21.7497,58.0,33.4,25.8,58.0
372,Ostrava-Radvanice ZU,Moravskoslezsky,CZ,49.807056388889,18.33914,147.0,10.7,24.8,147.0
373,Fernandez Ladreda,Madrid,ES,40.384700000284,-3.7186000003246,55.0,6.0,11.5,55.0
374,,Pernik - Center,BG,42.610335,23.032191,22.0,9.3,3.3,42.0
375,Vapaudentie 6a,Seinäjoki,FI,62.7785,22.83932,5.0,1.2,62.2,18.0
376,Esztergom,Esztergom,HU,47.79044,18.74582,53.0,4.7,27.5,53.0
377,Tartas Pelletrin,Aquitaine,FR,43.838919922126,-0.812037212328,15.0,3.7,0.5,50.0
378,El Lauredal,Asturias,ES,43.542777777778,-5.7091666666667,59.0,1.0,37.4,59.0
379,Riadok,Ruzomberok,SK,49.0787782,19.3023554,61.0,9.6,28.7,61.0
380,Pardubice Dukla,Pardubicky,CZ,50.024036388889,15.763548888889,62.0,8.3,24.2,62.0
381,,La Coulonche Site MERA,FR,48.6449769288398,-0.458333608852246,38.0,7.43,28.1,38.0
382,,Rzeszów-Piłsudskiego-WIOS,PL,50.040711,22.004364,155.0,33.4,25.8,155.0
383,,Toulouse Mazades,FR,43.62358041,1.438546479,39.0,1.8,38.8,34.0
384,,Bydgoszcz-Warszawska,PL,53.133888888889,17.995555555556,71.0,31.8,5.2,71.0
385,Lugagnano,Emilia Romagna,IT,44.82389,9.830369,47.0,11.0,46.8,50.0
386,Gambetta,Orléans,FR,47.9071,1.90109,27.0,5.4,27.3,27.0
387,Palmones,Los Barrios,ES,36.174700000126,-5.4327700000272,71.0,10.6,37.6,71.0
388,Lorca Zona Centro,Murcia,ES,37.689508,-1.7010499413752176,62.0,5.9,13.5,62.0
389,Thabor,Rennes,FR,48.11521,-1.673088,40.0,2.1,32.3,40.0
390,Gemerska cesta,Lucenec,SK,48.336618,19.675975,63.0,6.9,16.3,63.0
391,Pamplona - Iturrama,Navarra,ES,42.8014964,-1.6738487,28.0,5.1,28.1,9.0
392,Calea Macin,Isaccea,RO,45.27206,28.4471996,26.0,1.6,26.2,43.0
393,Avignon Rocade CDG,PACA,FR,43.931418,4.826857,49.0,23.0,21.9,49.0
394,Usti n.L.-Kockov,Ustecky,CZ,50.683525,14.041195,59.0,1.3,39.7,59.0
395,,VELA STRAŽA,HR,43.991499666667,15.058111111111,31.0,1.7,43.1,31.0
396,San Pietro Capofiume,Emilia Romagna,IT,44.654232025,11.624819756,63.0,6.9,48.4,63.0
397,Str. Baile Jigodin,Miercurea Ciuc,RO,46.3543479,25.7902669,30.0,1.0,15.0,43.0
398,,Jelenia Góra - Ogińskiego,PL,50.91347,15.765659,73.0,14.3,7.6,73.0
399,Benevento,Campania,IT,41.11575,14.77998,84.0,5.8,84.4,49.0
400,,Sundsvall Bergsgatan,SE,62.3864621470333,17.3032339613202,62.0,1.0,34.4,45.0
401,,Pezinok,SK,48.283341,17.259744,63.0,5.1,27.6,63.0
402,,Wałbrzych - Wysockiego,PL,50.768729,16.269677,57.0,22.1,5.0,53.0
403,Charleville-Mézières,Champagne Ardenne,FR,49.7451,4.7192194444443,36.0,3.1,35.5,27.0
404,Comuna Tetchea,Tetchea,RO,47.045511,22.3237202,21.0,8.4,14.5,46.0
405,Rozvodna SSE,Bystricany,SK,48.6604318,18.5100381,55.0,3.2,20.3,55.0
406,,Neuruppin,DE,52.931666666667,12.809444444444,65.0,10.1,21.2,65.0
407,Villa Fulvia,Emilia Romagna,IT,44.824263,11.649618,70.0,10.1,50.0,70.0
408,Debrecen Kalotaszeg tér,Debrecen,HU,47.513384,21.624621,46.0,9.8,26.0,46.0
409,,Klaipėda Šilutės Pl.,LT,55.6848552,21.1840107,20.0,27.8,20.3,38.0
410,,Bredkälen,SE,63.84549728484,15.3197303354782,34.0,1.0,33.8,19.0
411,,Askeaton,IE,52.590446,-8.970515,44.0,2.2,36.0,44.0
412,Comuna Valiug,Semenic,RO,45.1799252,22.0603681,33.0,4.1,32.5,46.0
413,Kirjastotalo,Kotka,FI,60.4655,26.93893,19.0,6.4,47.7,19.0
414,Nord,Blois,FR,47.59454,1.3029,32.0,1.2,32.2,18.0
415,Lugo,Galicia,ES,42.997900000036,-7.5508999997222,18.0,6.2,18.2,9.0
416,Timavo,Emilia Romagna,IT,44.69955,10.622759,59.0,38.0,44.7,59.0
417,Nord-Est Alsace,Alsace,FR,48.919357,8.158458,36.0,8.3,15.5,63.0
418,Roma,Lazio,IT,41.9644063,12.6684397,53.0,18.3,20.8,53.0
419,,Avranches campagne ozone particules,FR,48.680011,-1.360139,46.0,3.2,28.5,46.0
420,,Bautzen,DE,51.182293,14.4237749,37.0,1.9,37.4,72.0
421,Pha5-Stodulky,Prague,CZ,50.04613,14.331413,59.0,19.9,16.7,59.0
422,,Wschowa,PL,51.79972222,16.3175,114.0,12.6,18.8,114.0
423,Mulhouse,Alsace,FR,47.737415,7.309075,60.0,21.2,17.3,60.0
424,Torino,Piemonte,IT,45.0402149,7.6227648,59.0,13.8,35.4,59.0
425,Reims,Champagne Ardenne,FR,49.224402777777,4.0205305555555,46.0,2.1,33.5,46.0
426,Nam. slobody,Humenne,SK,48.9340188,21.91053,80.0,15.6,11.5,80.0
427,,KOPRIVNICA-1,HR,46.154388888889,16.836660777778,153.0,6.4,26.0,153.0
428,Częstochowa,Al. Armii Krajowej 3,PL,50.817676,19.117426,60.0,32.4,24.7,68.0
429,,Villingen-Schwenningen,DE,48.048655555513,8.4635999997457,29.0,11.5,15.1,29.0
430,,Gharb,MT,36.0611111,14.2091667,42.0,0.9,42.4,23.0
431,Asti,Piemonte,IT,44.90886,8.20475,35.0,4.2,34.6,65.0
432,Bottenviksvägen,Pietarsaari,FI,63.67912,22.71837,18.0,0.4,62.2,18.0
433,Centre,Dreux,FR,48.72968,1.35845,24.0,1.8,24.3,21.0
434,Los Tojos,Cantabria,ES,43.153330000307,-4.2530599998811,10.0,0.2,22.8,2.79
435,Mediterraneo,Almeria,ES,36.841329999668,-2.4467199998768,37.0,18.8,31.6,37.0
436,Str. Mărăşeşti,Suceava,RO,47.6465491,26.2500393,17.0,14.6,17.0,46.0
437,Churanov,Jihocesky,CZ,49.068435555556,13.614801388889,38.0,0.6,38.3,37.0
438,,Cavan Town,IE,53.99356,-7.3628,54.0,2.5,36.0,54.0
439,Jesenskeho,Jelsava,SK,48.6302458,20.2406967,59.0,2.8,28.1,59.0
440,,Koszalin ul. Armii Krajowej,PL,54.19398611,16.17254444,52.0,30.8,20.9,152.0
441,Montluçon,Auvergne,FR,46.34072324,2.59394446,9.0,2.4,43.2,26.0
442,La Roche-sur-Yon,Loire,FR,46.6607,-1.43681,62.0,1.6,42.2,62.0
443,,Wexford Opera House,IE,52.338033,-6.462139,77.0,5.5,36.0,77.0
444,,Suwałki ul. Pułaskiego,PL,54.116056,22.93875,57.0,1.2,18.9,57.0
445,Str. I Bulbuca,Timişoara,RO,45.7364053,21.2496352,18.0,7.1,41.8,49.0
